Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA12,EMA26,MACD,Date
1035.0,1050.0,999.0,1035.0,779078,0.0,0.0,986.7909000436509,956.5242668687774,30.266633174873505,2023-09-08 00:00:00
1045.0,1055.0,1005.0,1005.0,855101,0.0,0.0,989.5923000369354,960.1150619155346,29.477238121400774,2023-09-11 00:00:00
1020.0,1025.0,999.0,1005.0,420829,0.0,0.0,991.9627154158684,963.4398721440135,28.522843271854867,2023-09-12 00:00:00
1015.0,1055.0,1015.0,1045.0,925145,0.0,0.0,1000.1222976595809,969.4813630963088,30.64093456327214,2023-09-13 00:00:00
1060.0,1115.0,1060.0,1105.0,1456846,0.0,0.0,1016.2573287888762,979.5197806447303,36.737548144145876,2023-09-14 00:00:00
1215.0,1215.0,1175.0,1200.0,2403753,0.0,0.0,1044.525432052126,995.8516487451207,48.67378330700535,2023-09-15 00:00:00
1190.0,1310.0,1185.0,1265.0,2489903,0.0,0.0,1078.444596351799,1015.7885636528895,62.656032698909485,2023-09-18 00:00:00
1265.0,1285.0,1220.0,1235.0,1818608,0.0,0.0,1102.5300430669067,1032.0264478267495,70.50359524015721,2023-09-19 00:00:00
1215.0,1235.0,1155.0,1165.0,1449699,0.0,0.0,1112.140805671998,1041.8763405803236,70.26446509167431,2023-09-20 00:00:00
1160.0,1175.0,1105.0,1115.0,1424536,0.0,0.0,1112.5806817224598,1047.292907944744,65.28777377771576,2023-09-21 00:00:00
1095.0,1190.0,1085.0,1185.0,1715203,0.0,0.0,1123.7221153036198,1057.4934332821704,66.22868202144946,2023-09-22 00:00:00
1180.0,1215.0,1155.0,1200.0,1420394,0.0,0.0,1135.4571744876782,1068.0494752612688,67.40769922640948,2023-09-25 00:00:00
1210.0,1210.0,1155.0,1160.0,773448,0.0,0.0,1139.2329937972663,1074.8606252419156,64.3723685553507,2023-09-26 00:00:00
1155.0,1170.0,1140.0,1170.0,633363,0.0,0.0,1143.9663793669176,1081.9079863351071,62.05839303181051,2023-09-27 00:00:00
1185.0,1210.0,1155.0,1155.0,815261,0.0,0.0,1145.663859464315,1087.3222095695437,58.34164989477131,2023-09-28 00:00:00
1170.0,1200.0,1120.0,1135.0,1174228,0.0,0.0,1144.0232657005743,1090.8538977495775,53.16936795099673,2023-10-02 00:00:00
1140.0,1175.0,1130.0,1165.0,1239239,0.0,0.0,1147.2504555927935,1096.3462016199792,50.90425397281433,2023-10-03 00:00:00
1155.0,1235.0,1135.0,1235.0,2057495,0.0,0.0,1160.7503855015943,1106.6168533518326,54.13353214976178,2023-10-04 00:00:00
1250.0,1300.0,1220.0,1290.0,2602423,0.0,0.0,1180.6349415782722,1120.200790140586,60.434151437686296,2023-10-05 00:00:00
1295.0,1295.0,1240.0,1250.0,1060398,0.0,0.0,1191.3064890277687,1129.8155464264685,61.490942601300276,2023-10-06 00:00:00
1300.0,1315.0,1250.0,1280.0,1824219,0.0,0.0,1204.9516445619581,1140.9403207652485,64.01132379670958,2023-10-11 00:00:00
1290.0,1295.0,1220.0,1250.0,1356228,0.0,0.0,1211.8821607831953,1149.0188155233784,62.863345259816924,2023-10-12 00:00:00
1235.0,1265.0,1215.0,1235.0,1124036,0.0,0.0,1215.4387514319344,1155.3877921512762,60.05095928065816,2023-10-13 00:00:00
1235.0,1235.0,1190.0,1200.0,968122,0.0,0.0,1213.0635589039443,1158.6924001400707,54.37115876387361,2023-10-16 00:00:00
1225.0,1250.0,1200.0,1200.0,806149,0.0,0.0,1211.0537806110297,1161.7522223519175,49.3015582591122,2023-10-17 00:00:00
1205.0,1245.0,1200.0,1210.0,1214140,0.0,0.0,1210.891660517025,1165.326131807331,45.565528709694036,2023-10-18 00:00:00
